meeting_id,user_id,office_location,title,start_time,end_time,location,organizer,description,attendance_choice,optional
1-1,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Operations Update - Special Session,2022-10-11 08:02:06,2022-10-11 09:16:06,"540 Mark Mews Suite 624, East Maryhaven, MA 98424",Warren Campos,"Institution sort teacher build himself.
Visit hard animal national. Actually cost commercial lawyer. Rather almost kid sort eight head image.",attended_in_person,True
1-2,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Client Meeting,2024-07-08 00:53:22,2024-07-08 02:00:22,"68081 David Pines Apt. 695, Port Brian, SD 75606",Michael Stewart,"Smile first risk agree firm bag who. Pattern I education since in machine. Teacher cup student.
Capital receive able yes. Now machine natural thus. Pm guy pass wife customer science forward.",attended_in_person,False
1-3,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Town Hall - Strategy Focus,2023-02-19 06:23:52,2023-02-19 07:05:52,Online,Michael Copeland,"This newspaper central man friend land. Type so consumer half well occur.
None decide ability himself book. Plant central bed free recognize evening ready. Leave bag both church thing discuss. Please join via http://www.rice.com/.",attended_online,True
1-4,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Operations Update - Follow-Up,2022-06-21 13:14:05,2022-06-21 13:58:05,"65626 Kennedy Turnpike Suite 823, North Carol, MO 83598",Chelsea Sherman,"Activity finally score. Southern technology under action next year mission.
Hard network standard member decision. Travel relationship glass professor away.",attended_in_person,False
1-5,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Strategy Session - Recurring,2024-07-11 14:14:05,2024-07-11 15:27:05,"3071 Tiffany Cape, Nancyville, OH 08632",Melinda Johnson,Nation institution brother north avoid. Suffer require town someone doctor off play car. Drop old guess central work send quickly.,attended_in_person,False
1-6,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Operations Update - Follow-Up,2022-12-09 20:21:35,2022-12-09 21:26:35,"68081 David Pines Apt. 695, Port Brian, SD 75606",Timothy Boyd,"Trip store identify fight lot. Positive civil media actually space. Shake deep with month chance response above.
You inside heart happen environment effect be as.",attended_in_person,False
1-7,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Strategy Session - Special Session,2023-10-19 22:23:30,2023-10-19 23:22:30,"68081 David Pines Apt. 695, Port Brian, SD 75606",Elizabeth Stark,Chair himself modern huge main rock. Cover every generation break kid. Please join via http://jones.org/.,attended_in_person,True
1-8,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Quarterly Review - Recurring,2024-03-27 11:37:42,2024-03-27 13:13:42,"68081 David Pines Apt. 695, Port Brian, SD 75606",Edward Sharp,Well to election value. Middle miss nor talk seek toward. Trial not computer address world inside.,attended_in_person,True
1-9,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Town Hall - Strategy Focus,2023-03-11 03:34:07,2023-03-11 05:14:07,Zoom Meeting - http://www.woods.com/,Christine Thomas,Describe including law hot true our surface discuss. Machine event he agent difficult race. Station drop bed just.,attended_online,False
1-10,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Quarterly Review - Strategy Focus,2023-11-11 18:51:26,2023-11-11 20:44:26,"19331 Martinez Locks, New Todd, ND 38356",Tyrone Rogers,Tonight drive billion almost become today available. Exactly set contain produce themselves field individual happy.,attended_in_person,True
1-11,1,"68081 David Pines Apt. 695, Port Brian, SD 75606",Board Meeting - Recurring,2023-10-12 18:33:13,2023-10-12 19:54:13,"68081 David Pines Apt. 695, Port Brian, SD 75606",Jessica Jackson,Scene body method be. Better tell into meeting mother so school. Bank nation and increase. Professional look deep admit.,attended_in_person,False
